katottg;latitude;longitude
UA01000000000013043;44.9333000;34.1000000
UA01020000000022387;44.7283390;33.9457680
UA01020010000048857;44.8166667;33.5666667
UA01020010010075540;44.8160660;33.5635020
UA01020010020030666;44.7875000;33.6147222
UA01020030010043419;44.8027778;33.8708333
UA01020030020095516;44.7902778;33.8019444
UA01020030030055891;44.7958333;33.8097222
UA01020030040087481;44.8252778;33.8400000
UA01020030050049624;44.8347222;33.8236111
UA01020050010045207;44.7527778;33.8608333
UA01020050020067441;44.7258333;34.0116667
UA01020070010032091;44.6888889;33.7055556
UA01020070020014815;44.6777250;33.6273280
UA01020070030047085;44.6625000;33.6430556
UA01020070040094944;44.6847222;33.7277778
UA01020070050086891;44.6772222;33.6091667
UA01020070060053271;44.6680556;33.7361111
UA01020070070045196;44.6805556;33.6027778
UA01020090010083010;44.6961111;33.9883333
UA01020090020067096;44.6897222;33.8997222
UA01020090030041920;44.7041667;33.9430556
UA01020090040049851;44.6986111;33.9222222
UA01020090050034207;44.7072222;33.8722222
UA01020090060030677;44.6750000;34.0111111
UA01020110010021583;44.8486111;33.6722222
UA01020110020095792;44.8391667;33.6330556
UA01020130010087113;44.5972222;33.9152778
UA01020130020090866;44.5775000;33.9388889
UA01020130030030071;44.5569444;33.8722222
UA01020130040048667;44.6050000;33.8933333
UA01020130050032578;44.5736111;33.9097222
UA01020130060054004;44.5513889;33.9013889
UA01020130070069789;44.5694444;33.8916667
UA01020130080078137;44.5500000;33.9594444
UA01020130090090603;44.6083333;33.9486111
UA01020150010060092;44.7536111;33.7747222
UA01020150020085470;44.7583333;33.7430556
UA01020150030038136;44.7372222;33.7991667
UA01020170010043902;44.7175000;33.8033333
UA01020170020089142;44.6811111;33.8394444
UA01020170030079411;44.7152778;33.8236111
UA01020170040066352;44.7288889;33.8088889
UA01020170050089604;44.7344444;33.7852778
UA01020170060067566;44.6952778;33.8305556
UA01020170070056496;44.7022222;33.7975000
UA01020190000077808;44.5944444;34.0111111
UA01020190010051671;44.5958333;34.0097222
UA01020190020045232;44.5791667;34.0083333
UA01020190030083840;44.5583333;34.0722222
UA01020190040049837;44.5777778;33.9930556
UA01020190050073256;44.5861111;33.9638889
UA01020190060074109;44.5741667;34.0713889
UA01020210010017308;44.6186111;33.6058333
UA01020230010099876;44.7752778;33.5438889
UA01020230020084271;44.7324290;33.6063520
UA01020230030045170;44.7319444;33.5819444
UA01020230040072585;44.7355556;33.5636111
UA01020230050045167;44.7347222;33.5833333
UA01020250000083187;44.8666700;33.7611100
UA01020250010041753;44.8680556;33.7913889
UA01020250020012476;44.8602778;33.7308333
UA01020250030075002;44.8388889;33.7502778
UA01020250040058984;44.8652778;33.7611111
UA01020270010094080;44.6438889;33.7808333
UA01020270020068295;44.6236111;33.7872222
UA01020270030032403;44.6055556;33.7930556
UA01020270040076507;44.6583333;33.7541667
UA01020290010096881;44.6291667;33.8666667
UA01020290020050353;44.6391667;33.8286111
UA01020290030054725;44.6347222;33.9541667
UA01020290040021024;44.6402778;33.8430556
UA01020290050070320;44.6063889;33.8641667
UA01020290060054662;44.6597222;33.8069444
UA01020310010021633;44.4444444;33.7805556
UA01020310020049917;44.4652778;33.7000000
UA01020310030041665;44.4208333;33.7638889
UA01020310040035606;44.5013889;33.8486111
UA01020310050051155;44.4777778;33.7958333
UA01020310060088260;44.4486111;33.7930556
UA01020310070070381;44.5097222;33.8277778
UA01020310080015829;44.4513889;33.8222222
UA01020310090018188;44.4694444;33.6736111
UA01020310100043613;44.4625000;33.8472222
UA01020310110010004;44.4805556;33.8527778
UA01020310120097167;44.4430556;33.7347222
UA01020310130018566;44.4763889;33.8805556
UA01020310140094275;44.4791667;33.7694444
UA01020330010077491;44.8483333;33.6000000
UA01020330020049762;44.8994444;33.6255556
UA01020350010083152;44.8722222;33.8555556
UA01020350020055481;44.8647222;33.8008333
UA01020350030066553;44.8883333;33.8713889
UA01020350040061533;44.9136111;33.8397222
UA01020350050012107;44.8700000;33.8200000
UA01020370010082919;44.8361111;33.9472222
UA01020370020017519;44.8411111;33.9225000
UA01020370030073511;44.8472222;33.9250000
UA01020370040066972;44.8708333;33.9300000
UA01020370050048874;44.8352778;34.0208333
UA01020370060014747;44.8472222;33.9180556
UA01020370070047245;44.8263889;33.9680556
UA01020370080064174;44.8500000;34.0080556
UA01020370090059007;44.8591667;33.8838889
UA01020370100079082;44.8208333;33.9227778
UA01020370110050872;44.8194444;33.9316667
UA01020370120034950;44.8419444;33.9988889
UA01020370130021249;44.8708333;33.8744444
UA01020390010087353;44.8111111;33.9763889
UA01020390020089381;44.7911111;33.9144444
UA01020390030068062;44.7563889;33.9930556
UA01020390040022064;44.7869444;33.9941667
UA01020410010079227;44.9019444;33.6794444
UA01020430010015851;44.5819444;33.7444444
UA01020430020041589;44.5541667;33.7402778
UA01020450000039196;44.7416667;33.6708333
UA01020450010047517;44.7427778;33.6713889
UA01020450020080220;44.7361111;33.6458333
UA01020450030044282;44.7541667;33.7194444
UA01020450040029353;44.7458333;33.6944444
UA01020450050043908;44.7347222;33.6291667
UA01020470000045027;44.8222222;33.6027778
UA01020470010027281;44.8222222;33.6027778
