koatuu;latitude;longitude
0110100000;44.9483760;34.1000390
0110165300;45.0194444;34.0000000
0110165600;45.0083333;34.0250000
0110165800;45.0208333;34.0208333
0110166200;45.0186111;34.0544444
0110300000;44.6672222;34.3977778
0110345400;44.5763889;34.3397222
0110390901;44.7013889;34.3533333
0110390903;44.7222222;34.3763889
0110390905;44.7080556;34.3800000
0110390907;44.6972222;34.3236111
0110391401;44.7436111;34.3711111
0110391403;44.7436111;34.3711111
0110391801;44.6152778;34.3625000
0110391802;44.6069444;34.3750000
0110391803;44.6416667;34.3736111
0110391805;44.5944444;34.3194444
0110391807;44.6000000;34.3513889
0110391809;44.5763889;34.3236111
0110391811;44.6355556;34.3900000
0110391813;44.5888889;34.3194444
0110391815;44.5961111;34.3413889
0110391817;44.5972222;34.3708333
0110391818;44.6177778;34.3766667
0110392101;44.7588800;34.5578900
0110392105;44.7694444;34.5958333
0110392107;44.7480556;34.5400000
0110393001;44.8222222;34.6777778
0110393002;44.8736111;34.7194444
0110600000;45.7086111;34.3933333
0110900000;45.2000000;33.3583333
0110945300;45.1600000;33.2747222
0110945600;45.3086111;33.0333333
0110945800;45.3858333;33.1200000
0111200000;45.3386111;36.4680556
0111300000;45.9675000;33.8002778
0111400000;45.1336111;33.5772222
0111500000;46.1072222;33.6933333
0111590101;46.0872222;33.6911111
0111590102;46.1127778;33.6463889
0111590103;46.1615100;33.6930800
0111600000;45.0488889;35.3791667
0111645200;44.9130556;35.1913889
0111645400;44.9633333;35.3552778
0111645700;44.9615500;35.2466000
0111645701;45.0000000;35.2194444
0111646000;45.1166667;35.4805556
0111646500;44.9388889;35.1583333
0111646501;44.9235560;35.0754400
0111690301;45.0966667;35.4313889
0111690303;45.0944444;35.3805556
0111692901;45.0458333;35.2958333
0111692903;45.0569444;35.3305556
0111692905;45.0277778;35.3166667
0111692907;45.0125000;35.2791667
0111692909;45.0263889;35.3402778
0111692911;45.0486111;35.3402778
0111692913;45.0000000;35.2875000
0111700000;44.8513889;34.9725000
0111745200;44.8291667;34.9127778
0111790200;44.8555556;34.8786111
0111790201;44.8555556;34.8786111
0111790401;45.0183333;34.9722222
0111790402;44.9736111;34.9819444
0111790403;45.0513889;34.9930556
0111790701;44.8875000;34.9902778
0111790702;44.9402778;34.9555556
0111791401;44.8783333;34.8480556
0111791402;44.8916667;34.8180556
0111791601;44.8305556;34.8013889
0111791602;44.8794444;34.7908333
0111792302;44.8708333;35.0597222
0111792303;44.8597222;35.0486111
0111792304;44.8597222;35.1333333
0111900000;44.4994444;34.1552778
0111945200;44.4088889;33.9069444
0111945400;44.5111111;34.2352778
0111945600;44.4810750;34.1252280
0111945900;44.5152778;34.1847222
0111946200;44.4361111;34.1105556
0111946500;44.4197222;33.9888889
0111946800;44.5500000;34.2861111
0111946805;44.5569444;34.2486111
0111947000;44.3961111;33.9711111
0111947100;44.4166667;34.0833333
0111947400;44.5625000;34.2930556
0111947700;44.4447222;34.1266667
0111947900;44.4708333;34.1438889
0111947901;44.4661111;34.0905556
0111947905;44.4850610;34.0994340
0111948100;44.5250000;34.1861111
0111948300;44.4586111;34.1366667
0111948500;44.5033333;34.2072222
0111948700;44.4050000;33.9102778
0111948900;44.3963889;33.9569444
0111949100;44.3983333;33.8130556
0111949300;44.3944445;33.9708333
0111949301;44.4075000;33.9450000
0111949500;44.5313889;34.1880556
0111949700;44.3916667;33.7888889
0111970200;44.4197222;34.0430556
0120400000;44.7283390;33.9457680
0120410100;44.7527778;33.8608333
0120445100;44.7258333;34.0116667
0120455300;44.6291667;33.8666667
0120455301;44.6391667;33.8286111
0120455302;44.6347222;33.9541667
0120455303;44.6402778;33.8430556
0120455304;44.6063889;33.8641667
0120455305;44.6597222;33.8069444
0120455600;44.8361111;33.9472222
0120455601;44.8411111;33.9225000
0120455602;44.8472222;33.9250000
0120455603;44.8708333;33.9300000
0120455604;44.8352778;34.0208333
0120455605;44.8472222;33.9180556
0120455606;44.8263889;33.9680556
0120455607;44.8500000;34.0080556
0120455608;44.8591667;33.8838889
0120455609;44.8208333;33.9227778
0120455610;44.8194444;33.9316667
0120455611;44.8708333;33.8744444
0120455612;44.8419444;33.9988889
0120480402;44.7902778;33.8019444
0120480403;44.7958333;33.8097222
0120480404;44.8252778;33.8400000
0120480405;44.8347222;33.8236111
0120480800;44.6958300;33.9888900
0120480801;44.6961111;33.9883333
0120480802;44.6897222;33.8997222
0120480803;44.7041667;33.9430556
0120480804;44.6986111;33.9222222
0120480806;44.7072222;33.8722222
0120480807;44.6750000;34.0111111
0120481300;44.8486111;33.6722222
0120481301;44.8486111;33.6722222
